,_id,ltable_id,rtable_id,ltable_title,ltable_category,ltable_brand,ltable_modelno,rtable_title,rtable_category,rtable_brand,rtable_modelno,label,id
339,339,2069,1,kodak 10c color ink cartridge,printers,kodak,10c,kodak black ink cartridge 10b 1163641,inkjet printer ink,kodak,1163641,0,9766
1501,1501,1197,4,kensington k72335us ci10 fit wireless notebook laser mouse,mice,kensington,k72335us,kensington k72349us wireless mouse for netbooks,mice,kensington,k72349us,0,7579
2687,2687,1036,8,maxell 635128 8x dvd-r media,mp3 accessories,maxell,,16x dvd-r media,dvd-r discs,imation,17340,0,3952
2697,2697,1909,8,verbatim 95137 16x dvd-r media,mp3 accessories,verbatim,95137,16x dvd-r media,dvd-r discs,imation,17340,0,6082
3536,3536,2405,12,hp laserjet 53x black print cartridge,printers,hp,q7553x,hp 85a laserjet black toner print cartridge - retail packaging ce285a,laser printer toner,hp,ce285a,0,2278
5711,5711,391,20,energizer max aaa 6pk,electronics - general,energizer,e92bp-6r,energizer max alkaline batteries,d,energizer,e95fp-8,0,8194
9293,9293,419,30,western digital 1tb my passport essential se usb 3.0 portable external hard drive,hard drives,western digital,wdbacx0010bbksn,western digital my book essential 1 tb usb 3.0 2.0 desktop external hard drive,external hard drives,western digital,wdbacw0010hbk-nesn,0,3769
9297,9297,429,30,western digital 2tb my book studio edition ii external hard drive,computers,western digital,wdh2q20000n,western digital my book essential 1 tb usb 3.0 2.0 desktop external hard drive,external hard drives,western digital,wdbacw0010hbk-nesn,0,1075
9415,9415,998,30,western digital av-gp 320gb sata desktop internal hard drive,hard drives,western digital,wd3200avvs,western digital my book essential 1 tb usb 3.0 2.0 desktop external hard drive,external hard drives,western digital,wdbacw0010hbk-nesn,0,5564
9671,9671,2394,30,western digital 750gb my passport essential se usb 3.0 silver portable hard drive,hard drives,western digital,wdbacx7500asl-nesn,western digital my book essential 1 tb usb 3.0 2.0 desktop external hard drive,external hard drives,western digital,wdbacw0010hbk-nesn,0,6305
16399,16399,1488,57,nuance paperport professional version 12.0,software,nuance,f309a-g00-12 .0,nuance pdf converter professional v6,computers accessories,nuance,,0,6605
17230,17230,1910,59,sigma 18-250mm zoom lens for nikon digital slr cameras 880306,camera and camcorder accessories,sigma,880306,nikon 35mm f 1.4 g af-s fx swm nikkor lens for nikon digital slr cameras,camera lenses,nikon,af-s 35mm,0,749
17359,17359,281,60,nextware jellybean case for ipad black,mp3 accessories,nextware,jelpad-bk,nextware jellybean case for ipod touch 4g blue,cases,nextware,jellybee-bl,0,7078
18252,18252,1025,63,kodak mini red video camera 1.8 lcd display,camcorders,kodak,mini video red,kodak mini video camera with sd card red,camcorders,kodak,8398513,0,5355
19558,19558,274,68,dymo d1 standard tape cartridge for dymo label makers 3 8in x 23ft red on white,stationery & office machinery,dymo,45018,dymo d1 tape cartridge for electronic label makers 1 2w blue on clear,labeling tapes,dymo,,0,5617
19865,19865,2078,68,dymo d1 standard tape cartridge for dymo label makers 1 4in x 23ft black on clear,stationery & office machinery,dymo,43610,dymo d1 tape cartridge for electronic label makers 1 2w blue on clear,labeling tapes,dymo,,0,6692
21987,21987,636,76,ep 16gb usb 2.0 mobile swingdrive flash drive,usb drives,ep memory,epsw/16gb -2.0,wintec filemate 4gb swivel usb 2.0 flash drive,computer accessories,wintec,,0,9799
24022,24022,1793,82,pioneer 5.25 2-way speakers 35w,car stereos,pioneer,ts-d1302r,pioneer ts-g4641r 4-inch x 6-inch 2-way speakers,coaxial speakers,pioneer,ts-g4641r,0,1942
25648,25648,621,87,zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card,electronics - general,zotac,zt-40604-10l,msi radeon hd 5450 1024 mb ddr3 pci-express 2.0 graphics card md1g,computers accessories,msi,r5450-md1g,0,6046
25767,25767,1931,87,xfx ati radeon 5670 hd pci-express 1gb ddr3 graphics card,electronics - general,xfx,hd567xznl3,msi radeon hd 5450 1024 mb ddr3 pci-express 2.0 graphics card md1g,computers accessories,msi,r5450-md1g,0,9817
25809,25809,2475,87,asus radeon hd5570 1gb ddr5 pci express graphics card,electronics - general,asus,eah5770 cucore/g/2di,msi radeon hd 5450 1024 mb ddr3 pci-express 2.0 graphics card md1g,computers accessories,msi,r5450-md1g,0,4444
