ltable_id,rtable_id,label,id,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,ltable_extended_title,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,rtable_extended_title
621,3167,0,1,zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card,electronics - general,zotac,zt-40604-10l,88.88,zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card electronics - general zotac zt-40604-10l,evga geforce gts450 superclocked 1 gb gddr5 pci-express 2.0 graphics card 01g-p3-1452-tr,graphics cards,evga,01g-p3-1452-tr,119.88,evga geforce gts450 superclocked 1 gb gddr5 pci-express 2.0 graphics card 01g-p3-1452-tr graphics cards evga 01g-p3-1452-tr
1893,3167,0,3477,evga geforce 8400 gs 1gb ddr3 pci express 2.0 graphics card,electronics - general,evga,01g-p3-1302-lr,44.99,evga geforce 8400 gs 1gb ddr3 pci express 2.0 graphics card electronics - general evga 01g-p3-1302-lr,evga geforce gts450 superclocked 1 gb gddr5 pci-express 2.0 graphics card 01g-p3-1452-tr,graphics cards,evga,01g-p3-1452-tr,119.88,evga geforce gts450 superclocked 1 gb gddr5 pci-express 2.0 graphics card 01g-p3-1452-tr graphics cards evga 01g-p3-1452-tr
621,13148,0,194,zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card,electronics - general,zotac,zt-40604-10l,88.88,zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card electronics - general zotac zt-40604-10l,evga geforce 210 512 mb ddr3 pci-express 2.0 graphics card video card 512-p3-1310-lr,graphics cards,evga,512-p3-1310-lr,34.88,evga geforce 210 512 mb ddr3 pci-express 2.0 graphics card video card 512-p3-1310-lr graphics cards evga 512-p3-1310-lr
621,698,0,2260,zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card,electronics - general,zotac,zt-40604-10l,88.88,zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card electronics - general zotac zt-40604-10l,msi geforce 220gt 1024 mb ddr3 pci-express 2.0 graphics card md1gd3 lp,computers accessories,msi,n220gt-md1gd3 / lp,79.21,msi geforce 220gt 1024 mb ddr3 pci-express 2.0 graphics card md1gd3 lp computers accessories msi n220gt-md1gd3 / lp
621,7701,0,3329,zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card,electronics - general,zotac,zt-40604-10l,88.88,zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card electronics - general zotac zt-40604-10l,pny geforce 9600gt 512 mb ddr3 pci-express graphics card vcg96512gxpb,,pny,vcg96512gxpb,,pny geforce 9600gt 512 mb ddr3 pci-express graphics card vcg96512gxpb  pny vcg96512gxpb
934,7701,0,2086,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,32.88,evga geforce 210 512mb ddr3 pci express graphics card electronics - general evga 512p31310lr,pny geforce 9600gt 512 mb ddr3 pci-express graphics card vcg96512gxpb,,pny,vcg96512gxpb,,pny geforce 9600gt 512 mb ddr3 pci-express graphics card vcg96512gxpb  pny vcg96512gxpb
621,11202,0,3557,zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card,electronics - general,zotac,zt-40604-10l,88.88,zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card electronics - general zotac zt-40604-10l,zotac zone geforce gt 220 1 gb 128-bit ddr2 625mhz 800mhz pci-express graphics card zt-20204-20l,computers accessories,zotac,zt-20204-20l,69.99,zotac zone geforce gt 220 1 gb 128-bit ddr2 625mhz 800mhz pci-express graphics card zt-20204-20l computers accessories zotac zt-20204-20l
745,11202,0,1099,zotac geforce gt 220 synergy edition pci express 1gb ddr2 graphics card,electronics - general,zotac,zt-20203-10l,68.33,zotac geforce gt 220 synergy edition pci express 1gb ddr2 graphics card electronics - general zotac zt-20203-10l,zotac zone geforce gt 220 1 gb 128-bit ddr2 625mhz 800mhz pci-express graphics card zt-20204-20l,computers accessories,zotac,zt-20204-20l,69.99,zotac zone geforce gt 220 1 gb 128-bit ddr2 625mhz 800mhz pci-express graphics card zt-20204-20l computers accessories zotac zt-20204-20l
621,13149,0,4331,zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card,electronics - general,zotac,zt-40604-10l,88.88,zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card electronics - general zotac zt-40604-10l,evga geforce gt 430 1 gb ddr3 pci-express 2.0 graphics card 01g-p3-1430-lr,graphics cards,evga,01g-p3-1430-lr,55.65,evga geforce gt 430 1 gb ddr3 pci-express 2.0 graphics card 01g-p3-1430-lr graphics cards evga 01g-p3-1430-lr
934,13149,0,7176,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,32.88,evga geforce 210 512mb ddr3 pci express graphics card electronics - general evga 512p31310lr,evga geforce gt 430 1 gb ddr3 pci-express 2.0 graphics card 01g-p3-1430-lr,graphics cards,evga,01g-p3-1430-lr,55.65,evga geforce gt 430 1 gb ddr3 pci-express 2.0 graphics card 01g-p3-1430-lr graphics cards evga 01g-p3-1430-lr
